iso3,country,region,income_group,population,food_system_need_index_main_min4,food_system_need_index_strict_all5,n_need_axes_available,dominant_need_profile,missing_need_axes,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,undernourishment_pct,child_stunting_pct,adult_obesity_pct,household_food_waste_kg_capita,household_food_waste_confidence,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_pct
RUS,Russian Federation,Europe & Central Asia,High income,143533851.0,0.34276117958435376,0.34276117958435376,5,sustainability,none,0.1893491124260355,0.6223404255319149,0.0232558139534883,0.7783018867924528,0.1005586592178771,2.5,,22.5,33.0,Medium confidence,3.0896818270416224,-73.5
HRV,Croatia,Europe & Central Asia,High income,3866200.0,0.3404382122507901,0.3404382122507901,5,nutrition,none,0.1893491124260355,0.7127659574468085,0.0674418604651162,0.6320754716981132,0.1005586592178771,2.5,,24.3,53.0,Eurostat,2.267971393099167,-44.8
VNM,Viet Nam,East Asia & Pacific,Lower middle income,100987686.0,0.33543461002073466,0.33543461002073466,5,food_security,none,0.5059171597633136,0.3078742983944655,0.2093023255813953,0.3915094339622642,0.2625698324022346,5.3,18.2,2.1,72.0,Medium confidence,1.4813393238854884,10.3
FRA,France,Europe & Central Asia,High income,68551653.0,0.33537916246224897,0.33537916246224897,5,sustainability,none,0.1893491124260355,0.5585106382978723,0.1209302325581395,0.7075471698113207,0.1005586592178771,2.5,,21.55,61.0,Eurostat,2.504958811131804,-104.4
EST,Estonia,Europe & Central Asia,High income,1372341.0,0.3202768801354431,0.3202768801354431,5,sustainability,none,0.1893491124260355,0.2801690379845973,0.1209302325581395,0.910377358490566,0.1005586592178771,2.5,1.2,21.05,61.0,Eurostat,6.877548218700745,-138.4
ROU,Romania,Europe & Central Asia,High income,19051804.0,0.31857417628258294,0.31857417628258294,5,sustainability,none,0.1893491124260355,0.545832789453074,0.1627906976744186,0.5943396226415094,0.1005586592178771,2.5,12.8,22.5,67.0,Low confidence,2.0451432788202104,-51.4
FIN,Finland,Europe & Central Asia,High income,5619911.0,0.3153654964863079,0.3153654964863079,5,sustainability,none,0.1893491124260355,0.3515533220206239,0.0674418604651162,0.8679245283018868,0.1005586592178771,2.5,2.8,22.15,53.0,Eurostat,4.844433212554434,-12.9
POL,Poland,Europe & Central Asia,High income,36559233.0,0.31059503018384965,0.31059503018384965,5,sustainability,none,0.1893491124260355,0.3352042814254014,0.0976744186046511,0.8301886792452831,0.1005586592178771,2.5,1.0,22.95,60.0,Eurostat,3.5823203320485417,-18.1
LKA,Sri Lanka,South Asia,Lower middle income,21916000.0,0.3086966201833768,0.3086966201833768,5,food_security,none,0.6094674556213018,0.2317093068789975,0.241860465116279,0.1084905660377358,0.3519553072625698,7.4,10.5,5.1,76.0,Medium confidence,0.6793155274685161,20.9
IND,India,South Asia,Lower middle income,1450935791.0,0.3038231619514842,0.3038231619514842,5,food_security,none,0.7100591715976331,0.4596168907453334,0.0790697674418604,0.1698113207547169,0.1005586592178771,12.0,35.5,3.9,55.0,Medium confidence,0.902525361716713,-6.4
CZE,Czechia,Europe & Central Asia,High income,10905028.0,0.29870729440066,0.29870729440066,5,sustainability,none,0.1893491124260355,0.4419788539355175,0.1767441860465116,0.5849056603773585,0.1005586592178771,2.5,2.8,25.9,69.0,Eurostat,1.9961904178512884,-42.0
DEU,Germany,Europe & Central Asia,High income,83516593.0,0.2970906211883384,0.2970906211883384,5,sustainability,none,0.1893491124260355,0.3220043075316538,0.2697674418604651,0.6037735849056604,0.1005586592178771,2.5,1.3,22.3,78.0,Eurostat,2.159616230992565,-0.3
BGR,Bulgaria,Europe & Central Asia,High income,6441421.0,0.2947006582119071,0.2947006582119071,5,sustainability,none,0.1893491124260355,0.4927881477613888,0.0162790697674418,0.6745283018867925,0.1005586592178771,2.5,7.0,24.9,26.0,Eurostat,2.432225855133518,-268.8
MDA,Moldova,Europe & Central Asia,Upper middle income,2402306.0,0.2930467274596868,0.2930467274596868,5,sustainability,none,0.1893491124260355,0.3125571074272288,0.1976744186046511,0.6650943396226415,0.1005586592178771,2.5,6.4,18.65,71.0,Low confidence,2.4141501540603074,-57.1
PHL,Philippines,East Asia & Pacific,Lower middle income,115843670.0,0.28875924427644206,0.28875924427644206,5,nutrition,none,0.3875739644970414,0.4575936561806553,0.0162790697674418,0.1745283018867924,0.4078212290502793,3.0,26.7,6.35,26.0,Medium confidence,0.925405817167222,28.5
SVK,Slovak Republic,Europe & Central Asia,High income,5422069.0,0.2882382328782345,0.2882382328782345,5,nutrition,none,0.3994082840236686,0.5,0.1534883720930232,0.2877358490566037,0.1005586592178771,3.1,,20.45,65.0,Eurostat,1.2458389039313222,-49.8
CHN,China,East Asia & Pacific,Upper middle income,1408975000.0,0.24778585845819726,0.24778585845819726,5,sustainability,none,0.1893491124260355,0.1481856154549014,0.241860465116279,0.4528301886792453,0.2067039106145251,2.5,4.8,6.2,76.0,Medium confidence,1.612750996362604,3.2
