iso3,country,ai_food_papers_full_count,ai_food_papers_fractional_count,n_unique_papers,first_year,last_year,region,income_group,population,gdp_current_usd,rd_expenditure_pct_gdp,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,ai_food_papers_per_million_population_full,ai_food_papers_per_million_population_fractional,ai_food_papers_per_billion_gdp_full,ai_food_papers_per_billion_gdp_fractional
NZL,New Zealand,546.0,342.8976802282685,546,2010,2025,East Asia & Pacific,High income,5287500.0,260235932558.996,1.54848,0.541785913918329,0.541785913918329,0.1893491124260355,0.8936170212765957,0.1209302325581395,0.9575471698113208,0.547486033519553,103.26241134751774,64.850625102273,2.0980961185143823,1.317641560319626
BGD,Bangladesh,536.0,327.43924774056353,536,2010,2025,South Asia,Lower middle income,173562364.0,450119424622.389,,0.3542273762355347,0.3542273762355347,0.6686390532544378,0.3580798851324892,0.3441860465116279,0.1320754716981132,0.2681564245810056,3.088227122787979,1.8865797871972032,1.1907950883249647,0.7274497162953067
ZAF,South Africa,541.0,319.2618221106379,541,2010,2025,Sub-Saharan Africa,Upper middle income,64007187.0,400260724226.067,0.61479,0.4179078095750087,0.4179078095750087,0.6627218934911243,0.7382032371753035,0.041860465116279,0.4009433962264151,0.2458100558659217,8.452175847065424,4.987905844239616,1.3516190004554218,0.797634648585503
ISR,Israel,450.0,293.8922054691095,450,2010,2025,Middle East & North Africa,High income,9974400.0,540379921261.681,6.34589,0.6333629661276414,0.6333629661276414,0.1893491124260355,0.7872340425531915,0.8232558139534883,0.5094339622641509,0.8575418994413407,45.115495668912416,29.46465005104162,0.8327474472947446,0.5438621864093857
NOR,Norway,554.0,289.7742175368491,554,2010,2025,Europe & Central Asia,High income,5572279.0,483727398216.364,1.85142,0.4774011116104023,0.4774011116104023,0.1893491124260355,0.6595744680851063,0.2697674418604651,0.7264150943396226,0.5418994413407822,99.42072175495879,52.002819230129916,1.1452731477331042,0.5990444589356038
AUT,Austria,516.0,256.0647269672192,516,2010,2025,Europe & Central Asia,High income,9177982.0,521642466921.745,3.25517,0.3808624637343823,0.3808624637343823,0.1893491124260355,0.4734042553191489,0.3581395348837209,0.5566037735849056,0.3268156424581006,56.221509259878694,27.899894221542294,0.9891832676985798,0.49088167318561726
NGA,Nigeria,416.0,244.58007936507937,416,2010,2025,Sub-Saharan Africa,Lower middle income,232679478.0,187759703099.801,0.28444,0.5618105112644027,0.5618105112644027,0.8402366863905325,0.5548557629552278,0.916279069767442,0.1792452830188679,0.3184357541899441,1.787867170649231,1.0511459002202135,2.215597879268488,1.302622848924491
ROU,Romania,325.0,244.3218358825557,325,2011,2025,Europe & Central Asia,High income,19051804.0,382767571329.158,0.51656,0.3185741762825829,0.3185741762825829,0.1893491124260355,0.545832789453074,0.1627906976744186,0.5943396226415094,0.1005586592178771,17.058752021593335,12.824078805479822,0.8490792437599651,0.638303383523713
VNM,Viet Nam,394.0,243.26862026862025,394,2010,2025,East Asia & Pacific,Lower middle income,100987686.0,476388230307.175,0.41456,0.3354346100207346,0.3354346100207346,0.5059171597633136,0.3078742983944655,0.2093023255813953,0.3915094339622642,0.2625698324022346,3.901465768806704,2.408893894931113,0.8270565369466599,0.5106520371247643
COL,Colombia,368.0,232.8861222111222,368,2010,2025,Latin America & Caribbean,Upper middle income,52886363.0,418542042920.189,0.2894,0.5284888752378895,0.5284888752378895,0.4378698224852071,0.5252741156506984,0.1860465116279069,0.839622641509434,0.6536312849162011,6.958315511316216,4.403519338456347,0.8792426142722614,0.5564222905452076
